Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,...66
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.3441619873047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9499969482422,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9499969482422,NA,NA,NA,98.9499969482422,NA,NA,NA,NA,NA,NA
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.7918014526367,NA,NA,NA,NA,NA,NA,NA,99.5931930541992,NA,99.7598419189453,99.7711410522461,99.7786331176758,99.7757720947266,99.7893600463867,99.7889862060547,99.7880630493164,99.7900619506836,99.7912292480469,NA,99.7959823608398,NA,NA
Burundi,BDI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5085506439209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3847198486328,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.3036193847656,NA,NA,NA,NA,NA,NA,NA,48.0840606689453,NA,NA,NA,NA,NA,61.5134887695313,NA,NA,68.3753280639648,NA,NA,NA,NA
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4827308654785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2451705932617,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6578483581543,NA,NA,NA,28.7021102905273,NA,NA,NA,NA,NA,32.9488182067871,NA,NA,NA,NA,NA,42.3624000549316,NA,NA,NA
Burkina Faso,BFA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83022975921631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5692300796509,NA,NA,NA,NA,12.8481702804565,NA,NA,NA,NA,NA,NA,21.8229198455811,NA,23.5221996307373,22.4725799560547,28.2936592102051,NA,NA,NA,NA,NA,NA,34.5993995666504,NA,NA,NA,39.3458518981934,NA,NA,NA
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2272300720215,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3193016052246,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.4855003356934,NA,NA,NA,NA,NA,46.6636009216309,NA,NA,NA,58.7691802978516,57.8607482910156,61.0155410766602,61.0932998657227,65.1373291015625,72.7587203979492,72.8929672241211,73.9122009277344,74.6844635009766,74.9088973999023,NA
Bulgaria,BGR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.2035598754883,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3524475097656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.7535095214844,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.0138320922852,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5487365722656,NA,NA,NA,NA,NA,NA,NA,NA,90.9774017333984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.063591003418,NA,NA,NA,NA,NA,NA,NA,NA,96.6631011962891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.1420364379883,NA,96.9917678833008,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8833694458008,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5907287597656,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.617057800293,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8740005493164,NA,NA
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2984237670898,NA,NA,NA,NA,NA,NA,NA,NA,76.9029769897461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,BOL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.2081489562988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.9917678833008,NA,NA,NA,NA,NA,NA,NA,NA,86.7236709594727,NA,NA,NA,NA,NA,90.7434692382813,90.698112487793,91.1678314208984,NA,92.2261505126953,94.4605712890625,NA,NA,92.455078125,NA,NA,NA,NA,NA,NA
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.5867309570313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.3678817749023,NA,NA,NA,88.6162414550781,NA,89.6152267456055,90.0093688964844,90.03662109375,90.298210144043,90.3791809082031,91.4112396240234,91.3378524780273,91.4842376708984,91.7294311523438,92.0478973388672,92.8084411621094,93.0758209228516,93.2275009155273,NA,NA,NA
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.2680816650391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5999984741211,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5999984741211,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5999984741211,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5999984741211,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,BRN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7354965209961,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.8041763305664,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.6711273193359,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.085563659668,NA,NA,NA,NA,NA,NA,97.214111328125,NA,NA,NA
Bhutan,BTN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.8146896362305,NA,NA,NA,NA,NA,NA,55.3175582885742,NA,NA,NA,NA,66.561149597168,NA,NA,NA,NA
Botswana,BWA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5809097290039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.1887130737305,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.8231811523438,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2361698150635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6244201660156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6451683044434,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7526092529297,NA,NA,NA,NA,NA,NA,NA,37.3958206176758,NA,NA,NA
Canada,CAN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Europe and the Baltics,CEB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.0038833618164,98.0235137939453,98.0558166503906,98.0839309692383,98.1059494018555,98.1389465332031,98.0351104736328,98.0912017822266,98.1503524780273,98.1967086791992,98.2469482421875,98.288459777832,98.3341979980469,98.3798217773438,98.4195098876953,98.4586791992188,98.5430068969727,98.4732284545898,98.5088500976563,98.5358123779297,98.5658416748047,98.5824432373047,98.6052322387695,98.6279678344727,98.635627746582,98.6540603637695,98.6918487548828,98.8988265991211,98.9172210693359,98.9342498779297,98.9453887939453,98.9543380737305,98.9662933349609,98.9777297973633,98.9910278320313,NA,NA,NA,NA,NA
Switzerland,CHE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Channel Islands,CHI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,CHL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.1284027099609,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.2911376953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.7166213989258,NA,NA,NA,NA,NA,97.7224502563477,97.6642303466797,NA,96.703010559082,NA,96.2670593261719,NA,96.8741302490234,NA,96.4022827148438,NA,NA,NA,NA
China,CHN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.5050888061523,NA,NA,NA,NA,NA,NA,NA,77.7850570678711,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.9202117919922,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1244812011719,NA,NA,NA,NA,NA,NA,NA,96.8408889770508,NA,NA,NA
Cote d'Ivoire,CIV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1392784118652,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3502388000488,NA,48.7407608032227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9816284179688,NA,43.9084205627441,NA,NA,NA,NA,89.8934173583984,NA,NA
Cameroon,CMR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2162094116211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.4091567993164,NA,NA,NA,NA,NA,NA,70.6799392700195,NA,NA,71.2905120849609,NA,NA,NA,NA,NA,NA,NA,77.0710372924805,NA,NA,NA
"Congo, Dem. Rep.",COD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.1729888916016,NA,NA,NA,NA,NA,61.2055511474609,NA,NA,NA,NA,75.0171890258789,NA,NA,NA,77.0426788330078,NA,NA,NA,NA,NA
"Congo, Rep.",COG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6191215515137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.1147918701172,NA,NA,NA,NA,NA,79.3111724853516,NA,NA,NA,NA,NA,NA,80.2987594604492,NA,NA,NA
Colombia,COL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.0630874633789,NA,NA,91.207160949707,NA,NA,NA,NA,NA,NA,NA,92.8037796020508,92.8486633300781,92.2996826171875,92.6517868041992,93.3781814575195,93.2446899414063,93.3723297119141,93.5805282592773,NA,NA,94.1862487792969,94.2450485229492,94.6538467407227,NA,95.0925064086914,95.249267578125,95.6363296508789,NA
Comoros,COM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9192314147949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.4892272949219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1961402893066,NA,NA,NA,NA,NA,58.8170204162598,NA,NA,NA
Cabo Verde,CPV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.7968597412109,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.1104431152344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.3277893066406,NA,NA,86.7902908325195,NA,NA,NA,NA,NA,NA
Costa Rica,CRI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.6290435791016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.8681869506836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.4065780639648,NA,NA,NA,NA,NA,NA,97.8637924194336,NA,NA,NA
Caribbean small states,CSS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.2455825805664,86.2917633056641,86.5570983886719,86.8033981323242,87.0503082275391,87.4176406860352,87.0992813110352,87.9216079711914,88.2242889404297,88.510871887207,88.7854690551758,89.0601577758789,89.3650894165039,89.5564117431641,90.1571273803711,90.4194717407227,90.6442718505859,90.8884582519531,91.0886917114258,91.107292175293,91.1765213012695,91.349479675293,91.4435577392578,NA,NA,NA,NA,NA,NA
Cuba,CUB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8466491699219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.799072265625,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7525329589844,NA,NA,NA,NA,NA,NA,NA,NA,NA
